Job Title,Company Name,Salary Estimate,Job Position,Job Acedemic Requiremnt,Job Week Cutom Font,Job Time Cutom Font,Company Field,Company Size,min_salary,max_salary,avg_salary,avg_salary(month),week_attendence,intern_time_length
数据分析实习招聘-梵晖投资实习生招聘-实习僧," 
                        梵晖投资
                          ",150-180/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150,150,180,165.0,4950.0,5,3
数据分析实习招聘-千阶投资实习生招聘-实习僧," 
                        千阶投资
                          ",100-150/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150,100,150,125.0,3750.0,5,3
数据分析实习招聘-诚丝投资实习生招聘-实习僧," 
                        诚丝投资
                          ",150-200/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150,150,200,175.0,5250.0,5,3
数据分析实习招聘-车圈集团实习生招聘-实习僧," 
                        车圈集团
                          ",100-200/天,济南,不限,5天／周,实习3个月,互联网/游戏/软件,150-500,100,200,150.0,4500.0,5,3
数据分析实习招聘-易达出行实习生招聘-实习僧," 
                        易达出行
                          ",100-200/天,全国,不限,5天／周,实习3个月,互联网/游戏/软件,150-500,100,200,150.0,4500.0,5,3
数据分析实习生实习招聘-奇虎360实习生招聘-实习僧," 
                        奇虎360
                          ",150-180/天,广州,本科,4天／周,实习3个月,互联网/游戏/软件,more than 2000,150,180,165.0,4950.0,4,3
数据分析实习生实习招聘-中科聚信实习生招聘-实习僧," 
                        中科聚信
                          ",150-200/天,宁波,本科,5天／周,实习3个月,互联网/游戏/软件,50-150,150,200,175.0,5250.0,5,3
数据分析实习生实习招聘-同业云实习生招聘-实习僧," 
                        同业云
                          ",200/天,上海,硕士,4天／周,实习6个月,互联网/游戏/软件,50-150,200,200,200.0,6000.0,4,6
数据分析实习生实习招聘-感易智能实习生招聘-实习僧," 
                        感易智能
                          ",200-300/天,南京,本科,4天／周,实习4个月,互联网/游戏/软件,15-50,200,300,250.0,7500.0,4,4
数据分析实习招聘-用友集团实习生招聘-实习僧," 
                        用友集团
                          ",100-200/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,500-2000,100,200,150.0,4500.0,5,3
数据分析实习生实习招聘-盈程投资实习生招聘-实习僧," 
                        盈程投资
                          ",100-150/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150,100,150,125.0,3750.0,5,3
数据分析实习生实习招聘-寅尚投资实习生招聘-实习僧," 
                        寅尚投资
                          ",150-200/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150,150,200,175.0,5250.0,5,3
数据分析岗实习招聘-顺注投资实习生招聘-实习僧," 
                        顺注投资
                          ",150-180/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150,150,180,165.0,4950.0,5,3
数据分析实习生实习招聘-鼎程实习生招聘-实习僧," 
                        鼎程
                          ",120-180/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,150-500,120,180,150.0,4500.0,5,3
数据分析实习生实习招聘-福建万商堂实习生招聘-实习僧," 
                        福建万商堂
                          ",120-200/天,厦门,不限,5天／周,实习6个月,互联网/游戏/软件,15-50,120,200,160.0,4800.0,5,6
数据分析实习生实习招聘-Evereden实习生招聘-实习僧," 
                        Evereden
                          ",120-180/天,上海,本科,5天／周,实习3个月,快消/百货/批发/零售,50-150,120,180,150.0,4500.0,5,3
数据分析实习生实习招聘-YY直播实习生招聘-实习僧," 
                        YY直播
                          ",120-150/天,广州,本科,4天／周,实习4个月,互联网/游戏/软件,500-2000,120,150,135.0,4050.0,4,4
数据分析实习生实习招聘-鸣齐资管实习生招聘-实习僧," 
                        鸣齐资管
                          ",100-150/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,15-50,100,150,125.0,3750.0,5,3
数据分析实习生实习招聘-闵金投资实习生招聘-实习僧," 
                        闵金投资
                          ",150-200/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,50-150,150,200,175.0,5250.0,5,3
数据分析实习生实习招聘-龙腾咨询实习生招聘-实习僧," 
                        龙腾咨询
                          ",100-150/天,上海,本科,5天／周,实习3个月,企业服务/咨询,50-150,100,150,125.0,3750.0,5,3
数据分析实习生实习招聘-凯乘投资管理实习生招聘-实习僧," 
                        凯乘投资管理
                          ",150-180/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,15-50,150,180,165.0,4950.0,5,3
数据分析实习生实习招聘-鲸觅互联网实习生招聘-实习僧," 
                        鲸觅互联网
                          ",100-200/天,上海,硕士,5天／周,实习3个月,互联网/游戏/软件,50-150,100,200,150.0,4500.0,5,3
数据分析实习生实习招聘-YY直播实习生招聘-实习僧," 
                        YY直播
                          ",120-150/天,广州,本科,4天／周,实习5个月,互联网/游戏/软件,500-2000,120,150,135.0,4050.0,4,5
数据分析实习生实习招聘-格物钛实习生招聘-实习僧," 
                        格物钛
                          ",250-300/天,上海,本科,5天／周,实习4个月,互联网/游戏/软件,50-150,250,300,275.0,8250.0,5,4
数据分析实习生实习招聘-蓝标传媒实习生招聘-实习僧," 
                        蓝标传媒
                          ",150/天,北京,本科,5天／周,实习3个月,广告/传媒/公关/展览,more than 2000,150,150,150.0,4500.0,5,3
数据分析实习生实习招聘-TARGET SOCIAL实习生招聘-实习僧," 
                        TARGET SOCIAL
                          ",150-180/天,上海,本科,5天／周,实习3个月,广告/传媒/公关/展览,150-500,150,180,165.0,4950.0,5,3
数据分析实习生实习招聘-江森自控实习生招聘-实习僧," 
                        江森自控
                          ",100-150/天,大连,本科,4天／周,实习3个月,电子/通信/硬件,more than 2000,100,150,125.0,3750.0,4,3
数据分析实习生实习招聘-筑桥｜The Little Bridge实习生招聘-实习僧," 
                        筑桥｜The Little Bridge
                          ",150-200/天,北京,本科,3天／周,实习3个月,互联网/游戏/软件,150-500,150,200,175.0,5250.0,3,3
数据分析实习生实习招聘-NIO蔚来实习生招聘-实习僧," 
                        NIO蔚来
                          ",200-250/天,上海,本科,4天／周,实习6个月,汽车/机械/制造,more than 2000,200,250,225.0,6750.0,4,6
数据分析实习生实习招聘-博世中国实习生招聘-实习僧," 
                        博世中国
                          ",150-180/天,苏州,不限,5天／周,实习3个月,汽车/机械/制造,more than 2000,150,180,165.0,4950.0,5,3
数据分析实习生实习招聘-博世中国实习生招聘-实习僧," 
                        博世中国
                          ",150-200/天,无锡,不限,5天／周,实习6个月,汽车/机械/制造,more than 2000,150,200,175.0,5250.0,5,6
数据分析实习生实习招聘-TCL实习生招聘-实习僧," 
                        TCL
                          ",120-150/天,深圳,不限,5天／周,实习3个月,电子/通信/硬件,more than 2000,120,150,135.0,4050.0,5,3
数据分析实习生实习招聘-量子数能实习生招聘-实习僧," 
                        量子数能
                          ",100-150/天,成都,本科,5天／周,实习6个月,互联网/游戏/软件,50-150,100,150,125.0,3750.0,5,6
数据分析实习生实习招聘-NIO蔚来实习生招聘-实习僧," 
                        NIO蔚来
                          ",200-250/天,上海,本科,4天／周,实习3个月,汽车/机械/制造,more than 2000,200,250,225.0,6750.0,4,3
数据分析实习生实习招聘-猎聘网实习生招聘-实习僧," 
                      猎聘网
                          ",150-180/天,北京,硕士,5天／周,实习3个月,互联网/游戏/软件,more than 2000,150,180,165.0,4950.0,5,3
数据分析实习生实习招聘-经纬恒润实习生招聘-实习僧," 
                        经纬恒润
                          ",120-200/天,天津,硕士,5天／周,实习3个月,电子/通信/硬件,more than 2000,120,200,160.0,4800.0,5,3
数据分析实习生实习招聘-瀛数科技实习生招聘-实习僧," 
                        瀛数科技
                          ",200-300/天,上海,本科,5天／周,实习3个月,企业服务/咨询,15-50,200,300,250.0,7500.0,5,3
数据分析实习生实习招聘-新浪微博实习生招聘-实习僧," 
                        新浪微博
                          ",100-150/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,100,150,125.0,3750.0,5,3
数据分析实习生实习招聘-新浪实习生招聘-实习僧," 
                        新浪
                          ",100-150/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,100,150,125.0,3750.0,5,3
数据分析实习生实习招聘-阿宝说实习生招聘-实习僧," 
                        阿宝说
                          ",200/天,上海,本科,5天／周,实习3个月,互联网/游戏/软件,15-50,200,200,200.0,6000.0,5,3
数据分析实习生实习招聘-洛凯科技实习生招聘-实习僧," 
                        洛凯科技
                          ",100-200/天,武汉,本科,4天／周,实习3个月,互联网/游戏/软件,50-150,100,200,150.0,4500.0,4,3
数据分析实习生实习招聘-安克创新实习生招聘-实习僧," 
                        安克创新
                          ",100-120/天,长沙,本科,4天／周,实习3个月,电子/通信/硬件,more than 2000,100,120,110.0,3300.0,4,3
数据分析实习生实习招聘-号百信息实习生招聘-实习僧," 
                        号百信息
                          ",150-200/天,上海,不限,5天／周,实习3个月,电子/通信/硬件,150-500,150,200,175.0,5250.0,5,3
数据分析助理实习招聘-天正电气实习生招聘-实习僧," 
                        天正电气
                          ",100-150/天,上海,不限,5天／周,实习3个月,汽车/机械/制造,more than 2000,100,150,125.0,3750.0,5,3
数据分析实习生实习招聘-YY直播实习生招聘-实习僧," 
                        YY直播
                          ",120/天,广州,本科,4天／周,实习4个月,互联网/游戏/软件,500-2000,120,120,120.0,3600.0,4,4
数据分析（实习生）实习招聘-亚信科技实习生招聘-实习僧," 
                        亚信科技
                          ",120-150/天,北京,不限,5天／周,实习6个月,互联网/游戏/软件,more than 2000,120,150,135.0,4050.0,5,6
数据分析实习生实习招聘-唱吧实习生招聘-实习僧," 
                        唱吧
                          ",150-180/天,北京,本科,5天／周,实习5个月,互联网/游戏/软件,500-2000,150,180,165.0,4950.0,5,5
数据分析实习生实习招聘-猎聘网实习生招聘-实习僧," 
                      猎聘网
                          ",120-150/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,120,150,135.0,4050.0,5,3
数据分析实习生实习招聘-OPPO实习生招聘-实习僧," 
                        OPPO
                          ",150-200/天,深圳,本科,5天／周,实习6个月,电子/通信/硬件,more than 2000,150,200,175.0,5250.0,5,6
数据分析实习生实习招聘-上海人工智能实验室实习生招聘-实习僧," 
                        上海人工智能实验室
                          ",300-400/天,上海,不限,5天／周,实习3个月,互联网/游戏/软件,150-500,300,400,350.0,10500.0,5,3
数据分析实习生实习招聘-小红书实习生招聘-实习僧," 
                        小红书
                          ",150-200/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,150,200,175.0,5250.0,5,3
数据分析实习生实习招聘-哈啰出行实习生招聘-实习僧," 
                        哈啰出行
                          ",200-250/天,上海,本科,5天／周,实习6个月,互联网/游戏/软件,more than 2000,200,250,225.0,6750.0,5,6
数据分析实习生-LQ实习招聘-实习僧校招内推助手实习生招聘-实习僧," 
                        实习僧校招内推助手
                          ",100-120/天,上海,本科,4天／周,实习3个月,互联网/游戏/软件,50-150,100,120,110.0,3300.0,4,3
商业数据分析岗实习-(工程方向)实习招聘-爱钛技术实习生招聘-实习僧," 
                        爱钛技术
                          ",250-400/天,上海,本科,4天／周,实习3个月,企业服务/咨询,15-50,250,400,325.0,9750.0,4,3
数据分析实习生实习招聘-毫末智行实习生招聘-实习僧," 
                        毫末智行
                          ",250-300/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,150-500,250,300,275.0,8250.0,5,3
财务数据分析实习生实习招聘-美术宝实习生招聘-实习僧," 
                        美术宝
                          ",150-180/天,北京,本科,5天／周,实习4个月,教育/培训,more than 2000,150,180,165.0,4950.0,5,4
数据分析实习生YY实习招聘-YY直播实习生招聘-实习僧," 
                        YY直播
                          ",120-150/天,广州,不限,4天／周,实习4个月,互联网/游戏/软件,500-2000,120,150,135.0,4050.0,4,4
数据分析实习生实习招聘-米链实习生招聘-实习僧," 
                        米链
                          ",150-200/天,上海,不限,5天／周,实习3个月,互联网/游戏/软件,50-150,150,200,175.0,5250.0,5,3
数据分析实习生实习招聘-YY直播实习生招聘-实习僧," 
                        YY直播
                          ",120-150/天,广州,本科,5天／周,实习4个月,互联网/游戏/软件,500-2000,120,150,135.0,4050.0,5,4
数据分析实习生-经营分析部-成都实习招聘-滴滴实习生招聘-实习僧," 
                        滴滴
                          ",200-300/天,成都,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,200,300,250.0,7500.0,5,3
数据分析/策略实习生实习招聘-盛世长城上海实习生招聘-实习僧," 
                        盛世长城上海
                          ",100/天,上海,不限,5天／周,实习6个月,广告/传媒/公关/展览,150-500,100,100,100.0,3000.0,5,6
中控实习生（数据分析）实习招聘-美团实习生招聘-实习僧," 
                        美团
                          ",150-200/天,成都,本科,5天／周,实习6个月,互联网/游戏/软件,more than 2000,150,200,175.0,5250.0,5,6
数据分析实习生实习招聘-YY直播实习生招聘-实习僧," 
                        YY直播
                          ",120-150/天,广州,本科,5天／周,实习4个月,互联网/游戏/软件,500-2000,120,150,135.0,4050.0,5,4
数据分析实习生实习招聘-小米实习生招聘-实习僧," 
                        小米
                          ",250-400/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,250,400,325.0,9750.0,5,3
数据分析实习生实习招聘-麦当劳中国实习生招聘-实习僧," 
                        麦当劳中国
                          ",150-200/天,上海,不限,5天／周,实习3个月,餐饮/酒店/旅游/娱乐,more than 2000,150,200,175.0,5250.0,5,3
数据分析实习生实习招聘-众安保险实习生招聘-实习僧," 
                        众安保险
                          ",200-300/天,上海,本科,4天／周,实习3个月,金融/经济/投资/财会,more than 2000,200,300,250.0,7500.0,4,3
数据分析实习生实习招聘-上海一嗨实习生招聘-实习僧," 
                        上海一嗨
                          ",200-250/天,上海,本科,5天／周,实习8个月,互联网/游戏/软件,more than 2000,200,250,225.0,6750.0,5,8
数据分析实习生实习招聘-亚信科技实习生招聘-实习僧," 
                        亚信科技
                          ",100-150/天,长沙,本科,5天／周,实习6个月,互联网/游戏/软件,more than 2000,100,150,125.0,3750.0,5,6
数据分析实习生实习招聘-MIL实习生招聘-实习僧," 
                        MIL
                          ",120-150/天,佛山,本科,5天／周,实习6个月,交通/贸易/物流,more than 2000,120,150,135.0,4050.0,5,6
数据分析实习生实习招聘-蔚能实习生招聘-实习僧," 
                        蔚能
                          ",150-200/天,武汉,本科,5天／周,实习3个月,汽车/机械/制造,50-150,150,200,175.0,5250.0,5,3
数据分析实习生实习招聘-传声营销实习生招聘-实习僧," 
                        传声营销
                          ",120-150/天,上海,本科,5天／周,实习2个月,广告/传媒/公关/展览,15-50,120,150,135.0,4050.0,5,2
数据分析实习生实习招聘-美团实习生招聘-实习僧," 
                        美团
                          ",200-250/天,北京,不限,5天／周,实习3个月,互联网/游戏/软件,more than 2000,200,250,225.0,6750.0,5,3
数据分析实习生实习招聘-Early Data实习生招聘-实习僧," 
                        Early Data
                          ",150-200/天,上海,本科,3天／周,实习6个月,互联网/游戏/软件,150-500,150,200,175.0,5250.0,3,6
数据分析实习生 实习招聘-京东实习生招聘-实习僧," 
                        京东
                          ",100-180/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,100,180,140.0,4200.0,5,3
数据分析实习生实习招聘-司数科技实习生招聘-实习僧," 
                        司数科技
                          ",120-150/天,广州,本科,4天／周,实习2个月,企业服务/咨询,15-50,120,150,135.0,4050.0,4,2
数据分析实习生-济南实习招聘-亚信科技实习生招聘-实习僧," 
                        亚信科技
                          ",100-150/天,济南,本科,5天／周,实习8个月,互联网/游戏/软件,more than 2000,100,150,125.0,3750.0,5,8
数据分析实习生实习招聘-百保君实习生招聘-实习僧," 
                        百保君
                          ",200-400/天,上海,本科,4天／周,实习3个月,互联网/游戏/软件,50-150,200,400,300.0,9000.0,4,3
数据分析岗实习生实习招聘-芒果TV实习生招聘-实习僧," 
                        芒果TV
                          ",面议,长沙,不限,5天／周,实习3个月,互联网/游戏/软件,500-2000,0,0,0.0,0.0,5,3
数据分析实习生-网约车数据分析部（豪华车分析)-北京实习招聘-滴滴实习生招聘-实习僧," 
                        滴滴
                          ",200-300/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,200,300,250.0,7500.0,5,3
数据分析实习生实习招聘-云畅游戏实习生招聘-实习僧," 
                        云畅游戏
                          ",180-250/天,北京,本科,4天／周,实习3个月,互联网/游戏/软件,150-500,180,250,215.0,6450.0,4,3
数据分析实习生实习招聘-云畅游戏实习生招聘-实习僧," 
                        云畅游戏
                          ",180-250/天,北京,本科,4天／周,实习3个月,互联网/游戏/软件,150-500,180,250,215.0,6450.0,4,3
数据分析实习生实习招聘-中康资讯实习生招聘-实习僧," 
                        中康资讯
                          ",120-150/天,广州,不限,3天／周,实习3个月,企业服务/咨询,150-500,120,150,135.0,4050.0,3,3
金融数据分析实习生实习招聘-瑞格智研实习生招聘-实习僧," 
                        瑞格智研
                          ",150/天,上海,不限,3天／周,实习4个月,金融/经济/投资/财会,15-50,150,150,150.0,4500.0,3,4
数据分析实习生实习招聘-京东实习生招聘-实习僧," 
                        京东
                          ",100-200/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,100,200,150.0,4500.0,5,3
数据分析实习生实习招聘-CLPS实习生招聘-实习僧," 
                        CLPS
                          ",250-300/天,上海,本科,5天／周,实习6个月,互联网/游戏/软件,500-2000,250,300,275.0,8250.0,5,6
数据分析实习生实习招聘-赛博威实习生招聘-实习僧," 
                        赛博威
                          ",100-150/天,广州,本科,5天／周,实习6个月,互联网/游戏/软件,500-2000,100,150,125.0,3750.0,5,6
数据分析实习生实习招聘-知乎实习生招聘-实习僧," 
                        知乎
                          ",150-200/天,北京,本科,5天／周,实习6个月,互联网/游戏/软件,500-2000,150,200,175.0,5250.0,5,6
数据分析实习生实习招聘-LIU·JO UOMO实习生招聘-实习僧," 
                        LIU·JO UOMO
                          ",150-200/天,上海,不限,5天／周,实习3个月,快消/百货/批发/零售,150-500,150,200,175.0,5250.0,5,3
实习生（数据分析财务）实习招聘-江森自控实习生招聘-实习僧," 
                        江森自控
                          ",120-150/天,上海,本科,3天／周,实习3个月,电子/通信/硬件,more than 2000,120,150,135.0,4050.0,3,3
数据分析实习生实习招聘-安瑞信杰实习生招聘-实习僧," 
                        安瑞信杰
                          ",120-200/天,上海,硕士,4天／周,实习4个月,广告/传媒/公关/展览,150-500,120,200,160.0,4800.0,4,4
数据分析实习生实习招聘-纳原科技实习生招聘-实习僧," 
                        纳原科技
                          ",100-200/天,上海,本科,5天／周,实习3个月,互联网/游戏/软件,50-150,100,200,150.0,4500.0,5,3
数据分析实习生实习招聘-满帮实习生招聘-实习僧," 
                        满帮
                          ",120-200/天,南京,本科,4天／周,实习4个月,交通/贸易/物流,more than 2000,120,200,160.0,4800.0,4,4
数据分析岗-技术类（京喜）实习招聘-京东实习生招聘-实习僧," 
                        京东
                          ",100-200/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,100,200,150.0,4500.0,5,3
数据分析实习生实习招聘-字节跳动实习生招聘-实习僧," 
                        字节跳动
                          ",150/天,上海,本科,4天／周,实习3个月,互联网/游戏/软件,more than 2000,150,150,150.0,4500.0,4,3
数据分析实习生实习招聘-乐信圣文实习生招聘-实习僧," 
                        乐信圣文
                          ",180-200/天,北京,本科,4天／周,实习2个月,互联网/游戏/软件,150-500,180,200,190.0,5700.0,4,2
数据分析实习生实习招聘-用友集团实习生招聘-实习僧," 
                        用友集团
                          ",100-200/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,500-2000,100,200,150.0,4500.0,5,3
数据分析实习生实习招聘-百姓网实习生招聘-实习僧," 
                        百姓网
                          ",150-200/天,上海,本科,4天／周,实习4个月,互联网/游戏/软件,500-2000,150,200,175.0,5250.0,4,4
数据分析实习生实习招聘-通联支付实习生招聘-实习僧," 
                        通联支付
                          ",100-120/天,广州,本科,5天／周,实习3个月,金融/经济/投资/财会,more than 2000,100,120,110.0,3300.0,5,3
自动驾驶数据分析实习生实习招聘-上海人工智能实验室实习生招聘-实习僧," 
                        上海人工智能实验室
                          ",300-400/天,上海,不限,4天／周,实习3个月,互联网/游戏/软件,150-500,300,400,350.0,10500.0,4,3
数据分析实习生实习招聘-西瓜创客实习生招聘-实习僧," 
                        西瓜创客
                          ",120/天,成都,本科,5天／周,实习3个月,互联网/游戏/软件,500-2000,120,120,120.0,3600.0,5,3
数据分析实习生实习招聘-光华创想实习生招聘-实习僧," 
                        光华创想
                          ",面议,北京,不限,5天／周,实习3个月,广告/传媒/公关/展览,15-50,0,0,0.0,0.0,5,3
数据分析实习生实习招聘-快手实习生招聘-实习僧," 
                        快手
                          ",300/天,北京,本科,5天／周,实习6个月,互联网/游戏/软件,more than 2000,300,300,300.0,9000.0,5,6
数据分析实习生实习招聘-快手实习生招聘-实习僧," 
                        快手
                          ",200-400/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,200,400,300.0,9000.0,5,3
数据分析实习生实习招聘-快手实习生招聘-实习僧," 
                        快手
                          ",300-400/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,300,400,350.0,10500.0,5,3
数据分析实习生实习招聘-美团实习生招聘-实习僧," 
                        美团
                          ",200-250/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,200,250,225.0,6750.0,5,3
数据分析实习生实习招聘-Garena实习生招聘-实习僧," 
                        Garena
                          ",200-250/天,上海,本科,4天／周,实习3个月,互联网/游戏/软件,more than 2000,200,250,225.0,6750.0,4,3
数据分析实习生实习招聘-货拉拉实习生招聘-实习僧," 
                        货拉拉
                          ",200-250/天,深圳,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,200,250,225.0,6750.0,5,3
数据分析实习生实习招聘-阳狮媒体实习生招聘-实习僧," 
                        阳狮媒体
                          ",100/天,广州,本科,5天／周,实习3个月,广告/传媒/公关/展览,150-500,100,100,100.0,3000.0,5,3
数据分析实习生实习招聘-网易实习生招聘-实习僧," 
                        网易
                          ",100-150/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,100,150,125.0,3750.0,5,3
数据分析实习生实习招聘-筑龙实习生招聘-实习僧," 
                        筑龙
                          ",100-150/天,太原,本科,4天／周,实习3个月,互联网/游戏/软件,500-2000,100,150,125.0,3750.0,4,3
数据分析实习生实习招聘-wana try | 原WETRY来试实习生招聘-实习僧," 
                        wana try | 原WETRY来试
                          ",120-150/天,上海,本科,5天／周,实习3个月,互联网/游戏/软件,15-50,120,150,135.0,4050.0,5,3
数据分析实习生实习招聘-擎朗智能实习生招聘-实习僧," 
                        擎朗智能
                          ",120-200/天,上海,本科,4天／周,实习3个月,互联网/游戏/软件,500-2000,120,200,160.0,4800.0,4,3
数据分析实习生实习招聘-独到科技实习生招聘-实习僧," 
                        独到科技
                          ",120-180/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,50-150,120,180,150.0,4500.0,5,3
数据分析（实习生）实习招聘-美图秀秀实习生招聘-实习僧," 
                        美图秀秀
                          ",100-200/天,深圳,硕士,5天／周,实习4个月,互联网/游戏/软件,500-2000,100,200,150.0,4500.0,5,4
数据分析实习生实习招聘-Herlab她研社实习生招聘-实习僧," 
                        Herlab她研社
                          ",120-180/天,上海,本科,4天／周,实习3个月,快消/百货/批发/零售,50-150,120,180,150.0,4500.0,4,3
数据分析实习生实习招聘-广汽租赁实习生招聘-实习僧," 
                        广汽租赁
                          ",100-120/天,广州,本科,5天／周,实习3个月,金融/经济/投资/财会,150-500,100,120,110.0,3300.0,5,3
数据分析实习生实习招聘-凯淳实业实习生招聘-实习僧," 
                        凯淳实业
                          ",150-180/天,上海,不限,4天／周,实习3个月,互联网/游戏/软件,500-2000,150,180,165.0,4950.0,4,3
数据分析实习生实习招聘-VMLY&R实习生招聘-实习僧," 
                        VMLY&R
                          ",120-150/天,上海,本科,3天／周,实习3个月,广告/传媒/公关/展览,150-500,120,150,135.0,4050.0,3,3
数据分析实习生实习招聘-联元智能实习生招聘-实习僧," 
                        联元智能
                          ",200/天,上海,本科,3天／周,实习4个月,化工/能源/环保,50-150,200,200,200.0,6000.0,3,4
数据分析实习生实习招聘-CoFANCY实习生招聘-实习僧," 
                        CoFANCY
                          ",150-200/天,北京,本科,4天／周,实习3个月,互联网/游戏/软件,50-150,150,200,175.0,5250.0,4,3
数据分析实习生实习招聘-小米实习生招聘-实习僧," 
                        小米
                          ",250-400/天,北京,本科,5天／周,实习4个月,互联网/游戏/软件,more than 2000,250,400,325.0,9750.0,5,4
数据分析实习生实习招聘-哈啰出行实习生招聘-实习僧," 
                        哈啰出行
                          ",200-250/天,上海,本科,4天／周,实习5个月,互联网/游戏/软件,more than 2000,200,250,225.0,6750.0,4,5
数据分析实习生实习招聘-哈啰出行实习生招聘-实习僧," 
                        哈啰出行
                          ",250/天,上海,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,250,250,250.0,7500.0,5,3
数据分析实习生实习招聘-深演智能实习生招聘-实习僧," 
                        深演智能
                          ",150-180/天,北京,本科,4天／周,实习3个月,互联网/游戏/软件,150-500,150,180,165.0,4950.0,4,3
数据分析实习生实习招聘-爱奇艺实习生招聘-实习僧," 
                        爱奇艺
                          ",180-250/天,北京,不限,5天／周,实习3个月,互联网/游戏/软件,more than 2000,180,250,215.0,6450.0,5,3
数据分析实习生实习招聘-京东物流实习生招聘-实习僧," 
                        京东物流
                          ",120-150/天,北京,本科,5天／周,实习3个月,交通/贸易/物流,more than 2000,120,150,135.0,4050.0,5,3
数据分析实习生实习招聘-阳狮集团实习生招聘-实习僧," 
                        阳狮集团
                          ",100/天,广州,本科,5天／周,实习3个月,广告/传媒/公关/展览,150-500,100,100,100.0,3000.0,5,3
数据分析实习生实习招聘-携程旅行网实习生招聘-实习僧," 
                        携程旅行网
                          ",150-180/天,上海,本科,3天／周,实习3个月,互联网/游戏/软件,more than 2000,150,180,165.0,4950.0,3,3
数据分析实习生实习招聘-福思特实习生招聘-实习僧," 
                        福思特
                          ",120-150/天,武汉,本科,5天／周,实习3个月,互联网/游戏/软件,未知规模,120,150,135.0,4050.0,5,3
数据分析实习生实习招聘-汽车之家实习生招聘-实习僧," 
                        汽车之家
                          ",180-250/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,more than 2000,180,250,215.0,6450.0,5,3
数据分析实习生实习招聘-金山WPS实习生招聘-实习僧," 
                        金山WPS
                          ",100-150/天,珠海,本科,5天／周,实习3个月,互联网/游戏/软件,500-2000,100,150,125.0,3750.0,5,3
数据分析实习生实习招聘-健合集团实习生招聘-实习僧," 
                        健合集团
                          ",80-120/天,广州,本科,5天／周,实习3个月,快消/百货/批发/零售,more than 2000,80,120,100.0,3000.0,5,3
数据分析实习生实习招聘-天润新能实习生招聘-实习僧," 
                        天润新能
                          ",100-150/天,北京,本科,3天／周,实习3个月,化工/能源/环保,more than 2000,100,150,125.0,3750.0,3,3
数据分析岗实习生实习招聘-德勤华永实习生招聘-实习僧," 
                        德勤华永
                          ",100-150/天,广州,本科,5天／周,实习3个月,企业服务/咨询,more than 2000,100,150,125.0,3750.0,5,3
数据分析实习生实习招聘-1药网实习生招聘-实习僧," 
                        1药网
                          ",120-150/天,上海,不限,5天／周,实习3个月,互联网/游戏/软件,500-2000,120,150,135.0,4050.0,5,3
数据分析助理实习招聘-赛商数据实习生招聘-实习僧," 
                        赛商数据
                          ",200-300/天,上海,不限,5天／周,实习3个月,不限,15-50,200,300,250.0,7500.0,5,3
数据分析实习生实习招聘-中央企业远程医疗平台实习生招聘-实习僧," 
                        中央企业远程医疗平台
                          ",150-250/天,深圳,本科,5天／周,实习6个月,互联网/游戏/软件,50-150,150,250,200.0,6000.0,5,6
数据分析实习生实习招聘-中安科技实习生招聘-实习僧," 
                        中安科技
                          ",150/天,上海,不限,5天／周,实习3个月,电子/通信/硬件,50-150,150,150,150.0,4500.0,5,3
